RPM,Temperature,Pump PWM,Pump Enable,Requested RPM,
80006,479,98,255,90,90000
81084,479,98,255,90,90000
81084,479,98,255,90,90000
82076,479,98,255,90,90000
82646,479,98,255,90,90000
82646,479,98,255,90,90000
83215,479,99,255,90,90000
83447,479,99,255,90,90000
83800,479,99,255,90,90000
83800,479,99,255,90,90000
84037,478,99,255,90,90000
84037,477,99,255,90,90000
84037,476,99,255,90,90000
84505,475,99,255,90,90000
84505,474,99,255,90,90000
84747,472,99,255,90,90000
84626,471,99,255,90,90000
84747,469,99,255,90,90000
84747,468,100,255,90,90000
85353,467,100,255,90,90000
85353,466,100,255,90,90000
85110,464,100,255,90,90000
85353,463,100,255,90,90000
85353,462,100,255,90,90000
85353,461,100,255,90,90000
85956,460,100,255,90,90000
85956,459,100,255,90,90000
86461,458,100,255,90,90000
86587,457,100,255,90,90000
86587,456,100,255,90,90000
86587,456,100,255,90,90000
86587,455,100,255,90,90000
87080,454,100,255,90,90000
87080,453,100,255,90,90000
87080,453,101,255,90,90000
87206,452,101,255,90,90000
87206,452,101,255,90,90000
87080,451,101,255,90,90000
87080,450,101,255,90,90000
87721,450,101,255,90,90000
87721,449,101,255,90,90000
87595,449,101,255,90,90000
87721,449,101,255,90,90000
87721,448,101,255,90,90000
87721,448,101,255,90,90000
87852,448,101,255,90,90000
87852,447,101,255,90,90000
87852,447,101,255,90,90000
87852,447,101,255,90,90000
87852,447,101,255,90,90000
87852,447,101,255,90,90000
87852,447,101,255,90,90000
87852,447,101,255,90,90000
87852,447,101,255,90,90000
88496,447,101,255,90,90000
88365,447,101,255,90,90000
88365,447,101,255,90,90000
88627,447,101,255,90,90000
88496,446,101,255,90,90000
88627,446,101,255,90,90000
88627,446,101,255,90,90000
88627,446,101,255,90,90000
88627,445,102,255,90,90000
88759,445,102,255,90,90000
88627,445,102,255,90,90000
88890,444,102,255,90,90000
89157,444,102,255,90,90000
89157,444,102,255,90,90000
89157,444,102,255,90,90000
89157,444,102,255,90,90000
89822,443,102,255,90,90000
89685,443,102,255,90,90000
89822,443,102,255,90,90000
89958,443,102,255,90,90000
90094,443,102,255,90,90000
89822,442,102,255,90,90000
89958,442,102,255,90,90000
90094,442,102,255,90,90000
90094,442,102,255,90,90000
89958,442,102,255,90,90000
89822,442,102,255,90,90000
90230,442,102,255,90,90000
89958,442,102,255,90,90000
90094,442,102,255,90,90000
89958,443,102,255,90,90000
90094,443,102,255,90,90000
90094,442,102,255,90,90000
90094,442,102,255,90,90000
90367,442,102,255,90,90000
90230,442,102,255,90,90000
90094,442,102,255,90,90000
90367,442,102,255,90,90000
90094,442,102,255,90,90000
90094,442,102,255,90,90000
90094,443,102,255,90,90000
90094,443,102,255,90,90000
90230,443,102,255,90,90000
90094,443,102,255,90,90000
90367,443,102,255,90,90000
90094,443,102,255,90,90000
90230,444,102,255,90,90000
90367,444,102,255,90,90000
90230,444,102,255,90,90000
90230,444,102,255,90,90000
90230,444,102,255,90,90000
90367,444,102,255,90,90000
90367,444,101,255,90,90000
90367,444,101,255,90,90000
90230,444,101,255,90,90000
90367,444,101,255,90,90000
90094,444,101,255,90,90000
90094,444,101,255,90,90000
89822,444,101,255,90,90000
89822,444,101,255,90,90000
89822,444,102,255,90,90000
89822,444,102,255,90,90000
89822,444,102,255,90,90000
89157,444,102,255,90,90000
89157,444,102,255,90,90000
89157,444,102,255,90,90000
89157,444,102,255,90,90000
89157,445,102,255,90,90000
89157,445,102,255,90,90000
89822,445,102,255,90,90000
89958,445,102,255,90,90000
90094,445,102,255,90,90000
90230,445,102,255,90,90000
90230,445,102,255,90,90000
90367,445,102,255,90,90000
90367,445,102,255,90,90000
90367,445,102,255,90,90000
90367,445,102,255,90,90000
90367,444,102,255,90,90000
90367,444,102,255,90,90000
90230,444,102,255,90,90000
90230,444,102,255,90,90000
90094,444,102,255,90,90000
90094,445,102,255,90,90000
90367,445,102,255,90,90000
90367,445,102,255,90,90000
90230,445,102,255,90,90000
90230,445,102,255,90,90000
90230,445,101,255,90,90000
90230,445,101,255,90,90000
90230,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90094,445,101,255,90,90000
90094,445,101,255,90,90000
89958,445,101,255,90,90000
89958,445,101,255,90,90000
89822,445,101,255,90,90000
89685,445,101,255,90,90000
89685,445,102,255,90,90000
89685,445,102,255,90,90000
89685,445,102,255,90,90000
89685,445,102,255,90,90000
89685,445,102,255,90,90000
89685,446,102,255,90,90000
89685,446,102,255,90,90000
89685,446,102,255,90,90000
89685,446,102,255,90,90000
89822,446,102,255,90,90000
90094,446,102,255,90,90000
90230,446,102,255,90,90000
90230,446,102,255,90,90000
90230,446,102,255,90,90000
90230,446,102,255,90,90000
90230,446,102,255,90,90000
90905,446,102,255,90,90000
90905,446,102,255,90,90000
90905,446,102,255,90,90000
91046,446,102,255,90,90000
91046,446,101,255,90,90000
91046,446,101,255,90,90000
91324,445,101,255,90,90000
91046,445,101,255,90,90000
91324,445,101,255,90,90000
91046,445,101,255,90,90000
90905,445,101,255,90,90000
90905,445,101,255,90,90000
90905,445,101,255,90,90000
90905,445,101,255,90,90000
90367,445,101,255,90,90000
90094,445,101,255,90,90000
90094,445,101,255,90,90000
89958,445,101,255,90,90000
89958,445,101,255,90,90000
90094,445,101,255,90,90000
90367,445,101,255,90,90000
89685,445,101,255,90,90000
90094,445,101,255,90,90000
89958,445,101,255,90,90000
90094,445,101,255,90,90000
90094,445,101,255,90,90000
89822,445,101,255,90,90000
90094,445,101,255,90,90000
89958,445,101,255,90,90000
90230,445,101,255,90,90000
89958,445,101,255,90,90000
90094,445,101,255,90,90000
90094,445,101,255,90,90000
89958,445,101,255,90,90000
90094,445,101,255,90,90000
90094,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90230,446,101,255,90,90000
90230,446,101,255,90,90000
90230,445,101,255,90,90000
90367,446,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,445,101,255,90,90000
90367,444,101,255,90,90000
90367,444,101,255,90,90000
90367,444,101,255,90,90000
90367,444,101,255,90,90000
90367,444,101,255,70,70000
90367,444,101,255,70,70000
90230,444,101,255,70,70000
90367,444,90,255,70,70000
90367,444,90,255,70,70000
89958,444,90,255,70,70000
89958,443,90,255,70,70000
89958,442,90,255,70,70000
89958,441,90,255,70,70000
82192,439,90,255,70,70000
80973,437,90,255,70,70000
80006,436,90,255,70,70000
80006,434,90,255,70,70000
78640,433,90,255,70,70000
78226,433,90,255,70,70000
77622,432,89,255,70,70000
77521,432,89,255,70,70000
77123,432,89,255,70,70000
76820,432,89,255,70,70000
76820,432,89,255,70,70000
76049,432,89,255,70,70000
75853,433,89,255,70,70000
75853,433,89,255,70,70000
75193,433,89,255,70,70000
75193,433,89,255,70,70000
74815,434,89,255,70,70000
74532,434,89,255,70,70000
74532,435,89,255,70,70000
74532,435,89,255,70,70000
74532,436,89,255,70,70000
74628,436,89,255,70,70000
74441,437,88,255,70,70000
74441,438,88,255,70,70000
74345,438,88,255,70,70000
74255,439,88,255,70,70000
74255,440,88,255,70,70000
74255,440,88,255,70,70000
74255,440,88,255,70,70000
73807,441,88,255,70,70000
73717,441,88,255,70,70000
73530,441,88,255,70,70000
73439,441,88,255,70,70000
73171,441,88,255,70,70000
73081,442,88,255,70,70000
73171,442,88,255,70,70000
73171,442,88,255,70,70000
73171,442,88,255,70,70000
72558,442,88,255,70,70000
72558,443,88,255,70,70000
72558,443,88,255,70,70000
72558,443,88,255,70,70000
72467,443,88,255,70,70000
72644,443,88,255,70,70000
72381,443,88,255,70,70000
72467,443,88,255,70,70000
72467,443,88,255,70,70000
72558,443,88,255,70,70000
72467,444,88,255,70,70000
72558,444,88,255,70,70000
